"","Name","Hypselodonty"
"1","Acinonyx_jubatus",0
"2","Acomys_cahirinus",1
"3","Ailuropoda_melanoleuca",0
"4","Ailurus_fulgens",0
"5","Allactaga_bullata",1
"6","Alouatta_palliata",0
"7","Ammotragus_lervia",0
"8","Anoura_caudifer",0
"9","Antilocapra_americana",0
"10","Aotus_nancymaae",0
"11","Aplodontia_rufa",1
"12","Artibeus_jamaicensis",0
"13","Ateles_geoffroyi",0
"14","Balaenoptera_acutorostrata",0
"15","Balaenoptera_bonaerensis",0
"16","Beatragus_hunteri",0
"17","Bison_bison",0
"18","Bos_indicus",0
"19","Bos_mutus",0
"20","Bos_taurus",0
"21","Bubalus_bubalis",0
"22","Callithrix_jacchus",0
"23","Camelus_bactrianus",0
"24","Camelus_dromedarius",0
"25","Camelus_ferus",0
"26","Canis_lupus_familiaris",0
"27","Capra_aegagrus",0
"28","Capra_hircus",0
"29","Carollia_perspicillata",0
"30","Castor_canadensis",1
"31","Catagonus_wagneri",1
"32","Cavia_aperea",1
"33","Cavia_porcellus",1
"34","Cavia_tschudii",1
"35","Cebus_albifrons",0
"36","Cebus_capucinus",0
"37","Ceratotherium_simum_cottoni",0
"38","Cercocebus_atys",0
"39","Cercopithecus_neglectus",0
"40","Cheirogaleus_medius",0
"41","Chinchilla_lanigera",1
"42","Chlorocebus_sabaeus",0
"43","Colobus_angolensis",0
"44","Condylura_cristata",0
"45","Craseonycteris_thonglongyai",0
"46","Cricetomys_gambianus",1
"47","Cricetulus_griseus",1
"48","Cryptoprocta_ferox",0
"49","Ctenodactylus_gundi",1
"50","Ctenomys_sociabilis",1
"51","Dasyprocta_punctata",1
"52","Daubentonia_madagascariensis",1
"53","Delphinapterus_leucas",0
"54","Desmodus_rotundus",0
"55","Dicerorhinus_sumatrensis",0
"56","Diceros_bicornis",0
"57","Dinomys_branickii",1
"58","Dipodomys_ordii",1
"59","Dipodomys_stephensi",1
"60","Dolichotis_patagonum",1
"61","Eidolon_helvum",0
"62","Elaphurus_davidianus",1
"63","Ellobius_lutescens",1
"64","Ellobius_talpinus",1
"65","Eptesicus_fuscus",0
"66","Equus_asinus",0
"67","Equus_caballus",0
"68","Equus_przewalskii",0
"69","Erinaceus_europaeus",0
"70","Erythrocebus_patas",0
"71","Eschrichtius_robustus",0
"72","Eubalaena_japonica",0
"73","Eulemur_flavifrons",0
"74","Eulemur_fulvus",0
"75","Felis_catus",0
"76","Felis_nigripes",0
"77","Fukomys_damarensis",1
"78","Giraffa_tippelskirchi",0
"79","Glis_glis",1
"80","Gorilla_gorilla",0
"81","Graphiurus_murinus",1
"82","Helogale_parvula",0
"83","Hemitragus_hylocrius",0
"84","Heterocephalus_glaber",1
"85","Hipposideros_armiger",0
"86","Hipposideros_galeritus",0
"87","Homo_sapiens",0
"88","Hyaena_hyaena",0
"89","Hydrochoerus_hydrochaeris",1
"90","Hystrix_cristata",1
"91","Ictidomys_tridecemlineatus",1
"92","Indri_indri",0
"93","Inia_geoffrensis",0
"94","Jaculus_jaculus",1
"95","Kogia_breviceps",0
"96","Lasiurus_borealis",0
"97","Lemur_catta",0
"98","Leptonychotes_weddellii",0
"99","Lepus_americanus",1
"100","Lipotes_vexillifer",0
"101","Lycaon_pictus",0
"102","Macaca_fascicularis",0
"103","Macaca_mulatta",0
"104","Macaca_nemestrina",0
"105","Macroglossus_sobrinus",0
"106","Mandrillus_leucophaeus",0
"107","Manis_javanica",0
"108","Manis_pentadactyla",0
"109","Marmota_marmota",1
"110","Megaderma_lyra",0
"111","Mellivora_capensis",0
"112","Meriones_unguiculatus",1
"113","Mesocricetus_auratus",1
"114","Mesoplodon_bidens",1
"115","Microcebus_murinus",0
"116","Micronycteris_hirsuta",0
"117","Microtus_ochrogaster",1
"118","Miniopterus_natalensis",0
"119","Miniopterus_schreibersii",0
"120","Mirounga_angustirostris",0
"121","Mirza_coquereli",0
"122","Monodon_monoceros",1
"123","Mormoops_blainvillei",0
"124","Moschus_moschiferus",1
"125","Mungos_mungo",0
"126","Mus_caroli",1
"127","Mus_musculus",1
"128","Mus_pahari",1
"129","Mus_spretus",1
"130","Muscardinus_avellanarius",1
"131","Myocastor_coypus",1
"132","Myotis_brandtii",0
"133","Myotis_davidii",0
"134","Myotis_lucifugus",0
"135","Myotis_myotis",0
"136","Nannospalax_galili",1
"137","Nasalis_larvatus",0
"138","Neomonachus_schauinslandi",0
"139","Neophocaena_asiaeorientalis",0
"140","Noctilio_leporinus",0
"141","Nomascus_leucogenys",0
"142","Nycticebus_coucang",0
"143","Ochotona_princeps",1
"144","Octodon_degus",1
"145","Okapia_johnstoni",0
"146","Ondatra_zibethicus",1
"147","Onychomys_torridus",1
"148","Orcinus_orca",0
"149","Oryctolagus_cuniculus",1
"150","Otolemur_garnettii",0
"151","Ovis_aries",0
"152","Ovis_canadensis",0
"153","Pan_paniscus",0
"154","Pan_troglodytes",0
"155","Panthera_onca",0
"156","Panthera_pardus",0
"157","Panthera_tigris",0
"158","Pantholops_hodgsonii",0
"159","Papio_anubis",0
"160","Paradoxurus_hermaphroditus",0
"161","Perognathus_longimembris",1
"162","Peromyscus_maniculatus",1
"163","Petromus_typicus",1
"164","Phocoena_phocoena",0
"165","Piliocolobus_tephrosceles",0
"166","Pipistrellus_pipistrellus",0
"167","Pithecia_pithecia",0
"168","Pongo_abelii",0
"169","Propithecus_coquereli",0
"170","Psammomys_obesus",1
"171","Pteronotus_parnellii",0
"172","Pteronura_brasiliensis",0
"173","Pteropus_alecto",0
"174","Pteropus_vampyrus",0
"175","Puma_concolor",0
"176","Pygathrix_nemaeus",0
"177","Rattus_norvegicus",1
"178","Rhinolophus_sinicus",0
"179","Rhinopithecus_bieti",0
"180","Rhinopithecus_roxellana",0
"181","Rousettus_aegyptiacus",0
"182","Saguinus_imperator",0
"183","Saiga_tatarica",0
"184","Saimiri_boliviensis",0
"185","Scalopus_aquaticus",0
"186","Semnopithecus_entellus",0
"187","Sigmodon_hispidus",1
"188","Solenodon_paradoxus",0
"189","Sorex_araneus",0
"190","Spermophilus_dauricus",1
"191","Spilogale_gracilis",0
"192","Suricata_suricatta",0
"193","Sus_scrofa",1
"194","Tadarida_brasiliensis",0
"195","Tapirus_indicus",0
"196","Tapirus_terrestris",0
"197","Thryonomys_swinderianus",1
"198","Tonatia_saurophila",0
"199","Tragulus_javanicus",1
"200","Tupaia_chinensis",0
"201","Tursiops_truncatus",0
"202","Uropsilus_gracilis",0
"203","Ursus_maritimus",0
"204","Vicugna_pacos",0
"205","Vulpes_lagopus",0
"206","Xerus_inauris",1
"207","Zalophus_californianus",0
"208","Zapus_hudsonius",1
"209","Ziphius_cavirostris",1
